dataset_name,model,accuracy_baseline,precision_baseline,recall_baseline,f1_baseline,auc_baseline,feature_family_baseline,feature_set_baseline,text_feature_column_baseline,uses_commit_text_baseline,tfidf_num_features_baseline,accuracy_tfidf,precision_tfidf,recall_tfidf,f1_tfidf,auc_tfidf,feature_family_tfidf,feature_set_tfidf,text_feature_column_tfidf,uses_commit_text_tfidf,tfidf_num_features_tfidf,text_branch,baseline_feature_family,hybrid_feature_family,commit_text_source,uses_commit_text_hybrid,delta_accuracy,relative_delta_accuracy,delta_precision,relative_delta_precision,delta_recall,relative_delta_recall,delta_f1,relative_delta_f1,delta_auc,relative_delta_auc,improved_f1,improved_auc
openstack,rf,0.7753568745304282,0.307909604519774,0.6687116564417178,0.4216634429400386,0.8224010421043785,metrics_only,metrics_only,,False,0,0.7505634861006761,0.2860759493670886,0.6932515337423313,0.4050179211469534,0.8212769980670646,metrics_plus_commit_text,metrics_plus_commit_text,commit_text,True,1000,tfidf,metrics_only,metrics_plus_commit_text,commit_text,True,-0.024793388429752095,-0.03197674418604655,-0.021833655152685427,-0.07090930205551046,0.024539877300613466,0.03669724770642197,-0.016645521793085205,-0.039475847555160794,-0.0011240440373139204,-0.0013667833329073745,False,False
openstack,xgb,0.7791134485349361,0.3185595567867036,0.7055214723926381,0.4389312977099237,0.8301065215564334,metrics_only,metrics_only,,False,0,0.7535687453042825,0.3031026252983294,0.7791411042944786,0.436426116838488,0.8428229262963274,metrics_plus_commit_text,metrics_plus_commit_text,commit_text,True,1000,tfidf,metrics_only,metrics_plus_commit_text,commit_text,True,-0.02554470323065361,-0.03278688524590159,-0.015456931488374237,-0.04852132406350521,0.07361963190184051,0.10434782608695654,-0.002505180871435697,-0.00570745555057524,0.012716404739893994,0.015319003537101462,False,True
openstack,lgbm,0.7791134485349361,0.3154929577464789,0.6871165644171779,0.4324324324324324,0.8268079250357173,metrics_only,metrics_only,,False,0,0.7678437265214124,0.3193069306930693,0.7914110429447853,0.455026455026455,0.840333221279099,metrics_plus_commit_text,metrics_plus_commit_text,commit_text,True,1000,tfidf,metrics_only,metrics_plus_commit_text,commit_text,True,-0.01126972201352372,-0.014464802314368438,0.003813972946590416,0.012088932107496406,0.10429447852760731,0.15178571428571422,0.0225940225940226,0.05224867724867727,0.013525296243381724,0.016358450171843047,True,True
qt,rf,0.8988720342279268,0.3025641025641025,0.3224043715846995,0.3121693121693121,0.7895671435501734,metrics_only,metrics_only,,False,0,0.8728121353558926,0.2517241379310345,0.3989071038251366,0.3086680761099366,0.7871072118333013,metrics_plus_commit_text,metrics_plus_commit_text,commit_text,True,1000,tfidf,metrics_only,metrics_plus_commit_text,commit_text,True,-0.026059898872034193,-0.028991778450887025,-0.050839964633068,-0.16803039158386887,0.07650273224043713,0.23728813559322023,-0.003501236059375523,-0.011215823986813119,-0.002459931716872088,-0.0031155446841561367,False,False
qt,xgb,0.8872034227926877,0.285140562248996,0.3879781420765027,0.3287037037037037,0.8037134671536187,metrics_only,metrics_only,,False,0,0.8537534033450019,0.2556962025316455,0.5519125683060109,0.3494809688581315,0.8184181380490796,metrics_plus_commit_text,metrics_plus_commit_text,commit_text,True,1000,tfidf,metrics_only,metrics_plus_commit_text,commit_text,True,-0.033450019447685775,-0.03770276194651474,-0.029444359717350488,-0.10326261365662355,0.16393442622950816,0.42253521126760557,0.020777265154427793,0.0632097080754423,0.014704670895460903,0.018295912033847145,True,True
qt,lgbm,0.897705173084403,0.3198198198198198,0.3879781420765027,0.3506172839506173,0.799905721686758,metrics_only,metrics_only,,False,0,0.8654220147802412,0.2729805013927576,0.5355191256830601,0.3616236162361623,0.823958133106333,metrics_plus_commit_text,metrics_plus_commit_text,commit_text,True,1000,tfidf,metrics_only,metrics_plus_commit_text,commit_text,True,-0.03228315830416184,-0.03596187175043331,-0.04683931842706218,-0.14645533367334937,0.14754098360655743,0.38028169014084523,0.011006332285544984,0.031391299828490975,0.024052411419575037,0.030069057849537336,True,True
jitfine,rf,0.8354014598540146,0.2187088274044795,0.3494736842105263,0.2690437601296596,0.6939182922340815,metrics_only,metrics_only,,False,0,0.8093065693430657,0.2097759674134419,0.4336842105263158,0.2827728208647906,0.7237074504442926,metrics_plus_commit_text,metrics_plus_commit_text,commit_text,True,1000,tfidf,metrics_only,metrics_plus_commit_text,commit_text,True,-0.02609489051094893,-0.03123634775010925,-0.0089328599910376,-0.04084361887468398,0.08421052631578946,0.2409638554216867,0.013729060735131027,0.05102909923840871,0.02978915821021111,0.04292891330808476,True,True
jitfine,xgb,0.8355839416058394,0.2121621621621621,0.3305263157894736,0.2584362139917695,0.6711734581208264,metrics_only,metrics_only,,False,0,0.8215328467153284,0.2220994475138121,0.4231578947368421,0.2913043478260869,0.7437686524002313,metrics_plus_commit_text,metrics_plus_commit_text,commit_text,True,1000,tfidf,metrics_only,metrics_plus_commit_text,commit_text,True,-0.014051094890510929,-0.01681589866783138,0.009937285351650005,0.04683816025618475,0.09263157894736851,0.280254777070064,0.03286813383431736,0.12718083633342547,0.07259519427940486,0.1081615987656295,True,True
jitfine,lgbm,0.8558394160583942,0.2289156626506024,0.28,0.2518939393939394,0.6587086597612914,metrics_only,metrics_only,,False,0,0.8412408759124088,0.237017310252996,0.3747368421052631,0.2903752039151713,0.7282496450917504,metrics_plus_commit_text,metrics_plus_commit_text,commit_text,True,1000,tfidf,metrics_only,metrics_plus_commit_text,commit_text,True,-0.014598540145985384,-0.017057569296375245,0.008101647602393597,0.035391407947298344,0.09473684210526306,0.3383458646616538,0.038481264521231906,0.15276772682113118,0.06954098533045894,0.10557168833283564,True,True
