dataset,metric,metrics_only_mean,tfidf_only_mean,hybrid_mean,improvement_metrics_to_hybrid,improvement_pct_metrics_to_hybrid,improvement_tfidf_to_hybrid
jitfine,accuracy,0.8219586374695864,0.9101581508515815,0.8240267639902678,0.002068126520681335,0.25160956116333266,-0.08613138686131372
jitfine,precision,0.20640917814402437,0.2878480753480753,0.22296424172675,0.016555063582725627,8.020507484979248,-0.06488383362132533
jitfine,recall,0.37052631578947365,0.019649122807017468,0.41052631578947363,0.03999999999999998,10.795454545454541,0.39087719298245616
jitfine,f1,0.2650524848171674,0.03614061559325723,0.2881507908686829,0.02309830605151547,8.714615925011467,0.2520101752754257
jitfine,auc,0.6957038049669628,0.6668373731531626,0.7319085826454247,0.036204777678461864,5.204050548520592,0.06507120949226208
openstack,accuracy,0.7756073127973955,0.7953919358878037,0.7573253193087903,-0.018281993488605153,-2.3571197933484136,-0.038066616579013335
openstack,precision,0.3138614713349525,0.3024224075644771,0.30282850178616244,-0.011032969548790073,-3.515235400466119,0.00040609422168536025
openstack,recall,0.7014314928425357,0.5092024539877301,0.754601226993865,0.053169734151329306,7.580174927113712,0.24539877300613488
openstack,f1,0.43365158517078845,0.3780673974462378,0.43215683100396546,-0.001494754166822987,-0.3446901194271655,0.05408943355772766
openstack,auc,0.8281219360170322,0.7477457839594365,0.8348110485474969,0.006689112530464669,0.8077448790496828,0.08706526458806041
qt,accuracy,0.8938156359393231,0.9096330869959809,0.8639958511603786,-0.029819784778944536,-3.3362344067304788,-0.04563723583560231
qt,precision,0.2896724010673934,0.26988721103653984,0.2601336139518125,-0.02953878711558089,-10.197308064812352,-0.009753597084727339
qt,recall,0.3369763205828779,0.1548269581056466,0.4954462659380692,0.15846994535519127,47.02702702702703,0.34061930783242256
qt,f1,0.31136463617277227,0.19171106377827996,0.3399242204014101,0.028559584228637858,9.172391758963439,0.14821315662313017
qt,auc,0.7964301623478657,0.7061277852529191,0.8098278276629047,0.013397665315039053,1.68221470612601,0.10370004240998565
