dataset,feature_family,accuracy,precision,recall,f1,auc
jitfine,Hybrid,0.8240267639902678,0.22296424172675,0.41052631578947363,0.28815079086868295,0.7319085826454247
jitfine,Metrics-only,0.8219586374695864,0.20640917814402437,0.37052631578947365,0.2650524848171675,0.6957038049669628
jitfine,TF-IDF-only,0.9101581508515815,0.2878480753480753,0.019649122807017468,0.03614061559325723,0.6668373731531626
openstack,Hybrid,0.7573253193087903,0.30282850178616244,0.754601226993865,0.43215683100396546,0.834811048547497
openstack,Metrics-only,0.7756073127973955,0.3138614713349525,0.7014314928425357,0.43365158517078845,0.8281219360170322
openstack,TF-IDF-only,0.7953919358878037,0.3024224075644771,0.5092024539877301,0.3780673974462378,0.7477457839594365
qt,Hybrid,0.8639958511603786,0.2601336139518125,0.4954462659380692,0.3399242204014101,0.8098278276629047
qt,Metrics-only,0.8938156359393231,0.2896724010673934,0.3369763205828779,0.31136463617277227,0.7964301623478657
qt,TF-IDF-only,0.9096330869959809,0.26988721103653984,0.1548269581056466,0.19171106377827996,0.7061277852529191
