dataset_name,model,feature_family,num_features,decision_threshold,threshold_precision_floor,threshold_constraint_met,threshold_strategy_requested,threshold_val_precision,threshold_val_recall,threshold_val_f1,threshold_val_auc,threshold_selection_metric,threshold_selection_strategy,accuracy,precision,recall,f1,auc
jitfine,rf,tfidf_only,1000,0.5668150513860502,0.3,True,recall_with_precision_floor,0.30303030303030304,0.021413276231263382,0.04,0.6812345923380059,val_recall,max_recall_with_precision_floor,0.9083941605839416,0.13513513513513514,0.010526315789473684,0.01953125,0.6785025500814974
jitfine,xgb,tfidf_only,1000,0.7661607265472412,0.3,True,recall_with_precision_floor,0.3125,0.010706638115631691,0.020703933747412008,0.6631620528296972,val_recall,max_recall_with_precision_floor,0.912956204379562,0.4375,0.014736842105263158,0.028513238289205704,0.6663054839896945
jitfine,lgbm,tfidf_only,1000,0.7320161924843955,0.3,True,recall_with_precision_floor,0.30158730158730157,0.04068522483940043,0.07169811320754717,0.6590569846782396,val_recall,max_recall_with_precision_floor,0.9091240875912409,0.2909090909090909,0.03368421052631579,0.06037735849056604,0.6557040853882959
openstack,rf,tfidf_only,1000,0.5258695424900194,0.3,True,recall_with_precision_floor,0.3002610966057441,0.3782894736842105,0.33478893740902477,0.721357970284563,val_recall,max_recall_with_precision_floor,0.8069120961682945,0.30416666666666664,0.44785276073619634,0.36228287841191065,0.7362646020674006
openstack,xgb,tfidf_only,1000,0.5664047002792358,0.3,True,recall_with_precision_floor,0.3004694835680751,0.42105263157894735,0.3506849315068493,0.7369365399143792,val_recall,max_recall_with_precision_floor,0.8039068369646882,0.31297709923664124,0.5030674846625767,0.38588235294117645,0.7552788049415917
openstack,lgbm,tfidf_only,1000,0.5219180497247589,0.3,True,recall_with_precision_floor,0.3053435114503817,0.5263157894736842,0.3864734299516908,0.7423122324351549,val_recall,max_recall_with_precision_floor,0.7753568745304282,0.29012345679012347,0.5766871165644172,0.3860369609856263,0.7516939448693167
qt,rf,tfidf_only,1000,0.6286735521587882,0.3,True,recall_with_precision_floor,0.3492063492063492,0.13056379821958458,0.1900647948164147,0.7521504531985419,val_recall,max_recall_with_precision_floor,0.9179307662388175,0.28125,0.09836065573770492,0.145748987854251,0.6891515867131651
qt,xgb,tfidf_only,1000,0.7126609683036804,0.3,True,recall_with_precision_floor,0.3018867924528302,0.18991097922848665,0.2331511839708561,0.7873948469378225,val_recall,max_recall_with_precision_floor,0.9097627382341501,0.26666666666666666,0.15300546448087432,0.19444444444444445,0.7116937144740094
qt,lgbm,tfidf_only,1000,0.6878490596929265,0.3,True,recall_with_precision_floor,0.31225296442687744,0.2344213649851632,0.2677966101694915,0.7804206191672437,val_recall,max_recall_with_precision_floor,0.9012057565149747,0.26174496644295303,0.21311475409836064,0.23493975903614459,0.7175380545715828
