dataset,model,baseline_acc,tuned_acc,delta_acc,baseline_prec,tuned_prec,delta_prec,baseline_rec,tuned_rec,delta_rec,baseline_f1,tuned_f1,delta_f1,baseline_auc,tuned_auc,delta_auc
CM1,XGB,0.7821782178217822,0.8910891089108911,0.1089108910891089,0.2,0.4,0.2,0.4,0.2,-0.2,0.2666666666666666,0.2666666666666666,0.0,0.6252747252747253,0.6082417582417583,-0.017032967032966972
JM1,XGB,0.7172596517789553,0.7100681302043906,-0.007191521574564708,0.3040865384615384,0.301038062283737,-0.003048476177801407,0.6009501187648456,0.6199524940617577,0.019002375296912066,0.4038308060654429,0.4052795031055901,0.0014486970401471622,0.7363153059598456,0.7353057245618106,-0.0010095813980349755
KC1,XGB,0.5673758865248227,0.5650118203309693,-0.0023640661938534313,0.2456896551724137,0.2424242424242424,-0.003265412748171298,0.8769230769230769,0.8615384615384616,-0.01538461538461533,0.3838383838383838,0.3783783783783784,-0.005460005460005413,0.7908895573700043,0.788268156424581,-0.002621400945423291
PC1,XGB,0.9327354260089686,0.9192825112107624,-0.013452914798206206,0.5,0.3333333333333333,-0.16666666666666669,0.1333333333333333,0.2,0.06666666666666671,0.2105263157894736,0.25,0.03947368421052641,0.7592948717948718,0.7189102564102564,-0.04038461538461535
JITFINE,RF,0.8354014598540146,0.8217153284671533,-0.013686131386861256,0.2187088274044795,0.2053990610328638,-0.013309766371615711,0.3494736842105263,0.3684210526315789,0.0189473684210526,0.2690437601296596,0.2637528259231348,-0.005290934206524767,0.6939182922340815,0.7012557968347441,0.0073375046006626254
OPENSTACK,LGBM,0.7791134485349361,0.7738542449286251,-0.005259203606311047,0.3154929577464789,0.3135135135135135,-0.0019794442329654216,0.6871165644171779,0.7116564417177914,0.024539877300613466,0.4324324324324324,0.4352720450281426,0.0028396125957101948,0.8268079250357173,0.8287750021010168,0.0019670770652995273
QT,XGB,0.8872034227926877,0.8883702839362115,0.001166861143523823,0.285140562248996,0.2719298245614035,-0.013210737687592455,0.3879781420765027,0.3387978142076502,-0.049180327868852514,0.3287037037037037,0.3017031630170316,-0.027000540686672125,0.8037134671536187,0.7937970819489066,-0.009916385204712053
