dataset_name,model,candidate_index,split_mode,source_file,split_manifest_path,random_seed,num_train_rows,num_val_rows,num_test_rows,train_num_clean,train_num_defective,val_num_clean,val_num_defective,test_num_clean,test_num_defective,num_features,selected_metrics,missing_metrics,dropped_all_nan_metrics,params_json,model_path,val_accuracy,val_precision,val_recall,val_f1,val_auc,accuracy,precision,recall,f1,auc
jm1,rf,2,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jm1\split_manifest.json,42,7619,1089,2177,6147,1472,878,211,1757,420,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""max_depth"": 12, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""n_estimators"": 300}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jm1\rf_candidate2.joblib,0.8053259871441689,0.4888888888888889,0.10426540284360189,0.171875,0.6849015966921805,0.8089113458888378,0.5163934426229508,0.15,0.23247232472324722,0.7165270889232188
jm1,rf,3,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jm1\split_manifest.json,42,7619,1089,2177,6147,1472,878,211,1757,420,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""max_depth"": 18, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 400}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jm1\rf_candidate3.joblib,0.7952249770431589,0.4166666666666667,0.14218009478672985,0.21201413427561838,0.6691991708860077,0.7969683050068902,0.4266666666666667,0.1523809523809524,0.22456140350877193,0.7047198959264981
jm1,xgb,1,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jm1\split_manifest.json,42,7619,1089,2177,6147,1472,878,211,1757,420,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jm1\xgb_candidate1.joblib,0.8089990817263545,0.5348837209302325,0.10900473933649289,0.18110236220472442,0.7005878288656899,0.8107487367937529,0.5416666666666666,0.12380952380952381,0.20155038759689922,0.7127923679431933
jm1,xgb,2,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jm1\split_manifest.json,42,7619,1089,2177,6147,1472,878,211,1757,420,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.9}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jm1\xgb_candidate2.joblib,0.8053259871441689,0.48717948717948717,0.09004739336492891,0.152,0.6967742283734036,0.8079926504363804,0.509090909090909,0.13333333333333333,0.21132075471698114,0.7055492316448492
jm1,xgb,3,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jm1\split_manifest.json,42,7619,1089,2177,6147,1472,878,211,1757,420,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 400, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jm1\xgb_candidate3.joblib,0.7952249770431589,0.43023255813953487,0.17535545023696683,0.24915824915824916,0.6633127854127758,0.7900780891134589,0.4021164021164021,0.18095238095238095,0.24958949096880131,0.676922243000786
jm1,lgbm,1,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jm1\split_manifest.json,42,7619,1089,2177,6147,1472,878,211,1757,420,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""n_estimators"": 200, ""num_leaves"": 31, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jm1\lgbm_candidate1.joblib,0.8044077134986226,0.47368421052631576,0.08530805687203792,0.14457831325301204,0.6883373457556489,0.802939825447864,0.46017699115044247,0.12380952380952381,0.1951219512195122,0.705434723690273
jm1,lgbm,2,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jm1\split_manifest.json,42,7619,1089,2177,6147,1472,878,211,1757,420,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""n_estimators"": 300, ""num_leaves"": 63, ""subsample"": 0.9}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jm1\lgbm_candidate2.joblib,0.7970615243342516,0.4264705882352941,0.13744075829383887,0.2078853046594982,0.665760722883762,0.7942122186495176,0.41358024691358025,0.1595238095238095,0.23024054982817868,0.676835515082527
jm1,lgbm,3,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jm1\split_manifest.json,42,7619,1089,2177,6147,1472,878,211,1757,420,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""n_estimators"": 400, ""num_leaves"": 31, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jm1\lgbm_candidate3.joblib,0.8034894398530762,0.47619047619047616,0.14218009478672985,0.21897810218978103,0.6555749279383345,0.7988056959118053,0.4423076923076923,0.16428571428571428,0.23958333333333334,0.6627618776594302
kc1,rf,1,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\kc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\kc1\split_manifest.json,42,1476,211,422,1248,228,178,33,357,65,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\kc1\rf_candidate1.joblib,0.8246445497630331,0.42857142857142855,0.36363636363636365,0.39344262295081966,0.7671092951991829,0.8530805687203792,0.5365853658536586,0.3384615384615385,0.41509433962264153,0.8005602240896358
kc1,rf,2,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\kc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\kc1\split_manifest.json,42,1476,211,422,1248,228,178,33,357,65,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""max_depth"": 12, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""n_estimators"": 300}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\kc1\rf_candidate2.joblib,0.8151658767772512,0.375,0.2727272727272727,0.3157894736842105,0.7745999319033027,0.8483412322274881,0.5121951219512195,0.3230769230769231,0.39622641509433965,0.8165697048049989
