dataset_name,model,accuracy,precision,recall,f1,auc
cm1,lgbm,0.31683168316831684,0.10666666666666667,0.8,0.18823529411764706,0.610989010989011
cm1,rf,0.8712871287128713,0.2857142857142857,0.2,0.23529411764705882,0.5873626373626373
cm1,xgb,0.8910891089108911,0.4,0.2,0.26666666666666666,0.6082417582417583
jitfine,lgbm,0.8259124087591241,0.20685434516523868,0.35578947368421054,0.26160990712074306,0.6850353856669645
jitfine,rf,0.8217153284671533,0.20539906103286384,0.3684210526315789,0.26375282592313487,0.7012557968347441
jitfine,xgb,0.8182481751824817,0.20697412823397077,0.3873684210526316,0.2697947214076246,0.7008202323991798
jm1,lgbm,0.708554125662377,0.293491124260355,0.5890736342042755,0.39178515007898895,0.7339998994696488
jm1,rf,0.6990915972747919,0.2922222222222222,0.6247030878859857,0.3981831945495837,0.7347410434408759
jm1,xgb,0.7100681302043906,0.30103806228373703,0.6199524940617577,0.4052795031055901,0.7353057245618106
kc1,lgbm,0.5508274231678487,0.24066390041493776,0.8923076923076924,0.3790849673202614,0.7915556510528579
kc1,rf,0.5626477541371159,0.24789915966386555,0.9076923076923077,0.38943894389438943,0.7994413407821228
kc1,xgb,0.5650118203309693,0.24242424242424243,0.8615384615384616,0.3783783783783784,0.788268156424581
openstack,lgbm,0.7738542449286251,0.31351351351351353,0.7116564417177914,0.4352720450281426,0.8287750021010168
openstack,rf,0.772351615326822,0.3087431693989071,0.6932515337423313,0.42722117202268434,0.8255473149004118
openstack,xgb,0.7806160781367393,0.31932773109243695,0.6993865030674846,0.43846153846153846,0.8300434910496679
pc1,lgbm,0.9192825112107623,0.2857142857142857,0.13333333333333333,0.18181818181818182,0.7801282051282051
pc1,rf,0.9192825112107623,0.2,0.06666666666666667,0.1,0.7147435897435898
pc1,xgb,0.9192825112107623,0.3333333333333333,0.2,0.25,0.7189102564102564
qt,lgbm,0.897705173084403,0.3058252427184466,0.3442622950819672,0.32390745501285345,0.8030361278157637
qt,rf,0.8953714507973551,0.2912621359223301,0.32786885245901637,0.30848329048843187,0.7924572772789267
qt,xgb,0.8883702839362115,0.2719298245614035,0.33879781420765026,0.30170316301703165,0.7937970819489066
