dataset_name,model,auc,f1,precision,recall,accuracy,decision_threshold,threshold_precision_floor,threshold_constraint_met,threshold_selection_strategy,cv_folds,cv_mean_precision,cv_mean_recall,cv_mean_f1,cv_mean_auc,train_f1,val_precision,val_recall,val_f1,val_auc,gap_train_val_f1,gap_train_val_auc,gap_train_test_f1,gap_train_test_auc,selection_data_source,test_metrics_report_only,split_mode,candidate_index,params_json,model_path
kc1,xgb,0.788268156424581,0.3783783783783784,0.24242424242424243,0.8615384615384616,0.5650118203309693,0.47680678963661194,0.3,True,max_recall_with_precision_floor,5,0.265177138371224,0.7899516908212559,0.39469517751501537,0.7810000745009023,0.40559440559440557,0.3409090909090909,0.9090909090909091,0.49586776859504134,0.8401814757746962,-0.09027336300063576,-0.029802413134120354,0.027216027216027172,0.022110906215994763,validation_threshold,True,saved_split,1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 120, ""reg_lambda"": 4.0, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\kc1\xgb_candidate1.joblib
kc1,lgbm,0.7915556510528579,0.3790849673202614,0.24066390041493776,0.8923076923076924,0.5508274231678487,0.447638707875585,0.3,True,max_recall_with_precision_floor,5,0.274810523169577,0.7502415458937198,0.4015823230927566,0.7769064059135091,0.39923954372623577,0.3157894736842105,0.9090909090909091,0.46875,0.8447183701420989,-0.06951045627376423,-0.02226911800534681,0.020154576405974345,0.030893601083894273,validation_threshold,True,saved_split,3,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 30, ""n_estimators"": 180, ""num_leaves"": 11, ""reg_lambda"": 6.0, ""subsample"": 0.7}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\kc1\lgbm_candidate3.joblib
openstack,rf,0.8255473149004118,0.42722117202268434,0.3087431693989071,0.6932515337423313,0.772351615326822,0.44490999168491313,0.3,True,max_recall_with_precision_floor,5,0.3431722911091375,0.5788570111764029,0.4307231587370701,0.811373402480062,0.5588507877664504,0.3003194888178914,0.6438356164383562,0.4095860566448802,0.802222772019376,0.14926473112157018,0.13573480386559367,0.13162961574376603,0.11241026098455786,validation_threshold,True,jitline_native_split,3,"{""max_depth"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 350}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\openstack\rf_candidate3.joblib
openstack,xgb,0.8300434910496679,0.43846153846153846,0.31932773109243695,0.6993865030674846,0.7806160781367393,0.559322714805603,0.3,True,max_recall_with_precision_floor,5,0.29594295375923707,0.7291364212466874,0.4209713700805436,0.8235851194117203,0.4895003620564808,0.3018867924528302,0.6575342465753424,0.41379310344827586,0.8079327048283764,0.07570725860820493,0.0703027890122051,0.05103882359494233,0.048192002790913624,validation_threshold,True,jitline_native_split,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_lambda"": 3.0, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\openstack\xgb_candidate2.joblib
openstack,lgbm,0.8287750021010168,0.4352720450281426,0.31351351351351353,0.7116564417177914,0.7738542449286251,0.5604513269492177,0.3,True,max_recall_with_precision_floor,5,0.29153556790323937,0.7374755156123978,0.41781824041135823,0.8221898857271421,0.477086348287506,0.3,0.636986301369863,0.40789473684210525,0.8095148184801292,0.06919161144540076,0.05587718105518469,0.04181430325936342,0.03661699743429703,validation_threshold,True,jitline_native_split,1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 2.0, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\openstack\lgbm_candidate1.joblib
pc1,rf,0.7147435897435898,0.1,0.2,0.06666666666666667,0.9192825112107623,0.6894148190714491,0.3,True,max_recall_with_precision_floor,5,0.1207422969187675,0.29636363636363633,0.1700617399909296,0.6888621560431906,0.4810126582278481,1.0,0.25,0.4,0.7800245098039216,0.08101265822784809,0.139822622647089,0.38101265822784813,0.20510354270742082,validation_threshold,True,saved_split,2,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 8, ""n_estimators"": 200}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\pc1\rf_candidate2.joblib
pc1,xgb,0.7189102564102564,0.25,0.3333333333333333,0.2,0.9192825112107623,0.7491284012794495,0.3,True,max_recall_with_precision_floor,5,0.14820708425214058,0.5163636363636364,0.22887344146529848,0.7089055207244862,0.36363636363636365,0.6666666666666666,0.25,0.36363636363636365,0.7604166666666666,0.0,0.11186454806607171,0.11363636363636365,0.15337095832248193,validation_threshold,True,saved_split,2,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 6, ""n_estimators"": 150, ""reg_lambda"": 5.0, ""subsample"": 0.75}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\pc1\xgb_candidate2.joblib
pc1,lgbm,0.7801282051282051,0.18181818181818182,0.2857142857142857,0.13333333333333333,0.9192825112107623,0.8672812110210715,0.3,True,max_recall_with_precision_floor,5,0.1321455382642653,0.49818181818181817,0.20806006661896864,0.7051235632183908,0.2727272727272727,1.0,0.125,0.2222222222222222,0.7518382352941176,0.0505050505050505,0.13937188063898998,0.09090909090909088,0.11108191080490248,validation_threshold,True,saved_split,1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 120, ""num_leaves"": 7, ""reg_lambda"": 4.0, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\pc1\lgbm_candidate1.joblib
qt,rf,0.7924572772789267,0.30848329048843187,0.2912621359223301,0.32786885245901637,0.8953714507973551,0.619177128353879,0.3,True,max_recall_with_precision_floor,5,0.2979944761105686,0.5608749427393496,0.38904511044609025,0.8349612817761336,0.5609261939218524,0.3073394495412844,0.40853658536585363,0.3507853403141361,0.8139988655700511,0.21014085360771628,0.13370521668728352,0.2524429034334205,0.15524680497840793,validation_threshold,True,jitline_native_split,3,"{""max_depth"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 350}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\qt\rf_candidate3.joblib
qt,xgb,0.7937970819489066,0.30170316301703165,0.2719298245614035,0.33879781420765026,0.8883702839362115,0.7250896692276001,0.3,True,max_recall_with_precision_floor,5,0.20348805408833467,0.7448992212551534,0.3196120772278399,0.8406942735368649,0.4139243948871362,0.3008130081300813,0.45121951219512196,0.36097560975609755,0.8090243902439024,0.05294878513103868,0.05139382919345992,0.11222123187010458,0.06662113748845566,validation_threshold,True,jitline_native_split,1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 200, ""reg_lambda"": 2.0, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\qt\xgb_candidate1.joblib
qt,lgbm,0.8030361278157637,0.32390745501285345,0.3058252427184466,0.3442622950819672,0.897705173084403,0.7404095824557863,0.3,True,max_recall_with_precision_floor,5,0.22437661471617196,0.7090609253321117,0.34078047417560525,0.8404684729939701,0.4815138282387191,0.3080357142857143,0.42073170731707316,0.3556701030927835,0.8221213840045378,0.12584372514593556,0.08927292869358805,0.15760637322586563,0.10835818488236215,validation_threshold,True,jitline_native_split,3,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_samples"": 30, ""n_estimators"": 300, ""num_leaves"": 15, ""reg_lambda"": 4.0, ""subsample"": 0.75}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\qt\lgbm_candidate3.joblib
