dataset_name,comparison,metric,n_test_rows,n_test_positive,n_bootstrap_iters,n_permutation_iters,alpha,baseline_model,hybrid_model,point_baseline,ci_baseline_low,ci_baseline_high,point_hybrid,ci_hybrid_low,ci_hybrid_high,delta,delta_ci_low,delta_ci_high,permutation_p_value,permutation_n_iter_effective,delong_z,delong_p_value,delong_auc_diff,permutation_p_value_bh,permutation_significant_bh,delong_p_value_bh,delong_significant_bh
pc1,baseline_only,precision,223,15,300,300,0.05,rf_tuned,,0.2,0.0,0.7104166666666647,,,,,,,,0,,,,,False,,False
pc1,baseline_only,recall,223,15,300,300,0.05,rf_tuned,,0.06666666666666667,0.0,0.2,,,,,,,,0,,,,,False,,False
qt,baseline_only,auc,2571,183,300,300,0.05,xgb,,0.7937970819489066,0.7614983261315225,0.8240271534533865,,,,,,,,0,,,,,False,,False
qt,baseline_only,f1,2571,183,300,300,0.05,xgb,,0.30170316301703165,0.24178453788025575,0.3552364500107968,,,,,,,,0,,,,,False,,False
qt,baseline_only,precision,2571,183,300,300,0.05,xgb,,0.2719298245614035,0.2161560925332112,0.32589285714285715,,,,,,,,0,,,,,False,,False
qt,baseline_only,recall,2571,183,300,300,0.05,xgb,,0.33879781420765026,0.26771754721491753,0.404382476076555,,,,,,,,0,,,,,False,,False
qt,baseline_vs_hybrid_tfidf,auc,2571,183,300,300,0.05,xgb,xgb_hybrid_tfidf,0.7937970819489066,0.7614983261315225,0.8240271534533865,0.8184181380490796,0.7886599034415341,0.8446744775248738,0.024621056100172956,0.006545940228392805,0.043108851543514334,0.016611295681063124,300,2.5050819871964634,0.012242301176796255,0.024621056100172845,0.049833887043189376,True,0.018363451765194383,True
qt,baseline_vs_hybrid_tfidf,f1,2571,183,300,300,0.05,xgb,xgb_hybrid_tfidf,0.30170316301703165,0.24178453788025575,0.3552364500107968,0.3494809688581315,0.30499373133227625,0.389442582057727,0.04777780584109986,0.001656268999973562,0.0870378691264785,0.05647840531561462,300,,,,0.11295681063122924,False,,False
qt,baseline_vs_hybrid_tfidf,precision,2571,183,300,300,0.05,xgb,xgb_hybrid_tfidf,0.2719298245614035,0.2161560925332112,0.32589285714285715,0.25569620253164554,0.2172823492788212,0.29089374555792463,-0.016233622029757977,-0.06073588765990726,0.019884691636160152,0.4119601328903654,300,,,,0.49435215946843847,False,,False
qt,baseline_vs_hybrid_tfidf,recall,2571,183,300,300,0.05,xgb,xgb_hybrid_tfidf,0.33879781420765026,0.26771754721491753,0.404382476076555,0.5519125683060109,0.48223350253807107,0.6170187049879966,0.21311475409836061,0.144443757534543,0.27131245043616165,0.0033222591362126247,300,,,,0.019933554817275746,True,,False
