text_branch,dataset_name,num_models,mean_delta_accuracy,mean_delta_precision,mean_delta_recall,mean_delta_f1,mean_delta_auc,num_improved_f1,num_improved_auc
tfidf,jitfine,3,-0.018248175182481747,0.0030353576543353336,0.09052631578947368,0.0283594863635601,0.05730844594002497,3,3
tfidf,qt,3,-0.030597692207960603,-0.04237454759249356,0.12932604735883424,0.009427453793532417,0.01209905019938795,2,2
tfidf,openstack,3,-0.020535937891309808,-0.01115887123148975,0.0674846625766871,0.0011477733098338994,0.0083725523153206,1,2
