dataset_name,model,training_mode,selection_policy,selection_rank,is_final_selected,selection_metric_primary,selection_metric_secondary,selected_reason,selection_schema_version,source_file,random_seed,num_train_rows,num_val_rows,num_test_rows,num_features,train_num_clean,train_num_defective,test_num_clean,test_num_defective,selected_metrics,missing_metrics,dropped_all_nan_metrics,decision_threshold,threshold_precision_floor,threshold_constraint_met,threshold_selection_metric,threshold_selection_strategy,threshold_val_precision,threshold_val_recall,threshold_val_f1,threshold_val_auc,cv_folds,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_auc,cv_std_auc,selection_data_source,test_metrics_report_only,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_accuracy,val_precision,val_recall,val_f1,val_auc,accuracy,precision,recall,f1,auc,gap_train_test_accuracy,gap_train_test_precision,gap_train_test_recall,gap_train_test_f1,gap_train_test_auc,gap_train_val_accuracy,gap_train_val_precision,gap_train_val_recall,gap_train_val_f1,gap_train_val_auc,model_path,candidate_index,split_mode,split_manifest_path,val_num_clean,val_num_defective,params_json,threshold_strategy_requested,selection_strategy,selection_metric,feature_family,feature_set,text_feature_column,uses_commit_text,artifact_schema_version,artifact_stage,artifact_created_at,source_results_table,artifact_group_key,artifact_id,test_size,configured_models,configured_metrics,metrics_num_features,tfidf_num_features,tfidf_vocabulary_size,has_commit_text,split_manifest_hash,val_size,use_saved_splits,feature_mode,rank_within_dataset,stratified_split,train_label_distribution,test_label_distribution
cm1,xgb,tuned,hybrid_validation_then_tuned,1,True,recall,f1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,paper-v1,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,42,348,49,101,5,314.0,34.0,91.0,10.0,"loc,v(g),ev(g),iv(g),branchCount",,,0.75566166639328,0.3,True,val_recall,max_recall_with_precision_floor,0.5,0.2,0.2857142857142857,0.425,5.0,0.2593650793650793,0.0704919187368725,0.7428571428571429,0.2618614682831908,0.3778978978978979,0.099705069075114,0.8265111062346084,0.0802636873178742,validation_threshold,True,0.9281609195402298,0.6956521739130435,0.4705882352941176,0.5614035087719298,0.9134507306107156,0.8979591836734694,0.5,0.2,0.2857142857142857,0.425,0.8910891089108911,0.4,0.2,0.2666666666666666,0.6082417582417583,0.0370718106293387,0.2956521739130434,0.2705882352941176,0.2947368421052631,0.3052089723689573,0.0302017358667604,0.1956521739130434,0.2705882352941176,0.2756892230576441,0.4884507306107155,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,2.0,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,44.0,5.0,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 6, ""n_estimators"": 150, ""reg_lambda"": 5.0, ""subsample"": 0.75}",recall_with_precision_floor,best_validation_threshold_candidate_cv_tiebreak,val_recall_then_val_f1_precision_floor_0.30,metrics_only,metrics_only,,False,paper-v1,tuned_best_table,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,cm1::xgb,cm1::xgb::tuned_best_table,,,,,,,,,,,,,,,
jitfine,rf,hybrid_tfidf,hybrid_validation_then_tuned,1,True,recall,f1,Selected by recall then f1 using validation metrics within dataset under policy hybrid_validation_then_tuned,paper-v1,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jitfine_clean.parquet,42,16374,5465,5480,1013,14984.0,1390.0,5005.0,475.0,"la,ld,nf,ns,nd,entropy,ndev,lt,nuc,age,exp,rexp,sexp",,,0.5414569193062632,0.3,True,val_recall,max_recall_with_precision_floor,0.300498753117207,0.5160599571734475,0.3798266351457841,0.7939621244643468,,,,,,,,,,validation,True,0.8203249053377305,0.2718988830099941,0.6654676258992805,0.3860601001669449,0.82996812907389,0.855992680695334,0.300498753117207,0.5160599571734475,0.3798266351457841,0.7939621244643468,0.8093065693430657,0.2097759674134419,0.4336842105263158,0.2827728208647906,0.7237074504442926,0.0110183359946648,0.0621229155965521,0.2317834153729647,0.1032872793021542,0.1062606786295973,-0.0356677753576034,-0.0285998701072128,0.149407668725833,0.0062334650211608,0.0360060046095431,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\hybrid_tfidf\rf_jitfine.joblib,,jitline_native_split,,,,,recall_with_precision_floor,,,metrics_plus_commit_text,metrics_plus_commit_text,commit_text,True,paper-v1,training,,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\hybrid_tfidf_results.csv,jitfine::rf,jitfine::rf::training,0.2,,"la,ld,nf,ns,nd,entropy,ndev,lt,nuc,age,exp,rexp,sexp",13.0,1000.0,1000.0,True,,0.1,,metrics+tfidf,,True,"0:14984,1:1390","0:5005,1:475"
jm1,xgb,tuned,hybrid_validation_then_tuned,1,True,recall,f1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,paper-v1,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jm1_clean.parquet,42,9242,1320,2642,5,7770.0,1472.0,2221.0,421.0,"loc,v(g),ev(g),iv(g),branchCount",,,0.5167627930641174,0.3,True,val_recall,max_recall_with_precision_floor,0.3037383177570093,0.6190476190476191,0.4075235109717868,0.7269305019305019,5.0,0.2864957757427672,0.0138169717731297,0.6202398247434566,0.0176941141169448,0.391803762070562,0.0150402519218122,0.7231426381166954,0.0170434383872288,validation_threshold,True,0.7148885522614152,0.3107712333224862,0.6487771739130435,0.4202420242024202,0.7581170699037547,0.7136363636363636,0.3037383177570093,0.6190476190476191,0.4075235109717868,0.7269305019305019,0.7100681302043906,0.301038062283737,0.6199524940617577,0.4052795031055901,0.7353057245618106,0.0048204220570245,0.0097331710387491,0.0288246798512857,0.0149625210968301,0.022811345341944,0.0012521886250516,0.0070329155654768,0.0297295548654243,0.0127185132306333,0.0311865679732528,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jm1\xgb_candidate2.joblib,2.0,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jm1\manifest.json,1110.0,210.0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_lambda"": 3.0, ""subsample"": 0.8}",recall_with_precision_floor,best_validation_threshold_candidate_cv_tiebreak,val_recall_then_val_f1_precision_floor_0.30,metrics_only,metrics_only,,False,paper-v1,tuned_best_table,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,jm1::xgb,jm1::xgb::tuned_best_table,,,,,,,,,,,,,,,
kc1,xgb,tuned,hybrid_validation_then_tuned,1,True,recall,f1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,paper-v1,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\kc1_clean.parquet,42,1476,210,423,5,1248.0,228.0,358.0,65.0,"loc,v(g),ev(g),iv(g),branchCount",,,0.4768067896366119,0.3,True,val_recall,max_recall_with_precision_floor,0.3409090909090909,0.9090909090909092,0.4958677685950413,0.8401814757746962,5.0,0.265177138371224,0.0124473291196974,0.7899516908212559,0.1045745434702457,0.3946951775150153,0.0133155640706809,0.7810000745009023,0.0178148086800535,validation_threshold,True,0.5968834688346883,0.2626131953428202,0.8903508771929824,0.4055944055944055,0.8103790626405758,0.7095238095238096,0.3409090909090909,0.9090909090909092,0.4958677685950413,0.8401814757746962,0.5650118203309693,0.2424242424242424,0.8615384615384616,0.3783783783783784,0.788268156424581,0.031871648503719,0.0201889529185777,0.0288124156545208,0.0272160272160271,0.0221109062159947,-0.1126403406891212,-0.0782958955662707,-0.0187400318979266,-0.0902733630006357,-0.0298024131341203,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\kc1\xgb_candidate1.joblib,1.0,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\kc1\manifest.json,177.0,33.0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 120, ""reg_lambda"": 4.0, ""subsample"": 0.8}",recall_with_precision_floor,best_validation_threshold_candidate_cv_tiebreak,val_recall_then_val_f1_precision_floor_0.30,metrics_only,metrics_only,,False,paper-v1,tuned_best_table,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,kc1::xgb,kc1::xgb::tuned_best_table,,,,,,,,,,,,,,,
openstack,lgbm,hybrid_tfidf,hybrid_validation_then_tuned,1,True,recall,f1,Selected by recall then f1 using validation metrics within dataset under policy hybrid_validation_then_tuned,paper-v1,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\openstack_clean.parquet,42,10775,1198,1331,1022,9457.0,1318.0,1168.0,163.0,"la,ld,nf,nd,ns,ent,nrev,rtime,hcmt,self,ndev,age,nuc,app,aexp,rexp,arexp,rrexp,asexp,rsexp,asawr,rsawr",,,0.466785568870866,0.3,True,val_recall,max_recall_with_precision_floor,0.309192200557103,0.7602739726027398,0.4396039603960396,0.8316188343142872,,,,,,,,,,validation,True,0.8132714617169373,0.3903286978508217,0.9370257966616083,0.5510932619366354,0.939550361567886,0.7637729549248747,0.309192200557103,0.7602739726027398,0.4396039603960396,0.8316188343142872,0.7678437265214124,0.3193069306930693,0.7914110429447853,0.455026455026455,0.840333221279099,0.0454277351955249,0.0710217671577524,0.1456147537168232,0.0960668069101804,0.0992171402887868,0.0494985067920625,0.0811364972937186,0.1767518240588687,0.1114893015405958,0.1079315272535986,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\hybrid_tfidf\lgbm_openstack.joblib,,jitline_native_split,,,,,recall_with_precision_floor,,,metrics_plus_commit_text,metrics_plus_commit_text,commit_text,True,paper-v1,training,,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\hybrid_tfidf_results.csv,openstack::lgbm,openstack::lgbm::training,0.2,,"la,ld,nf,nd,ns,ent,nrev,rtime,hcmt,self,ndev,age,nuc,app,aexp,rexp,arexp,rrexp,asexp,rsexp,asawr,rsawr",22.0,1000.0,1000.0,True,,0.1,,metrics+tfidf,,True,"0:9457,1:1318","0:1168,1:163"
pc1,rf,tuned,hybrid_validation_then_tuned,1,True,recall,f1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,paper-v1,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\pc1_clean.parquet,42,776,110,223,5,722.0,54.0,208.0,15.0,"loc,v(g),ev(g),iv(g),branchCount",,,0.6894148190714491,0.3,True,val_recall,max_recall_with_precision_floor,1.0,0.25,0.4,0.7800245098039216,5.0,0.1207422969187675,0.0213275662767278,0.2963636363636363,0.0352558535084824,0.1700617399909296,0.0227156881003812,0.6888621560431906,0.0721780907526095,validation_threshold,True,0.9471649484536082,0.76,0.3518518518518518,0.4810126582278481,0.9198471324510106,0.9454545454545454,1.0,0.25,0.4,0.7800245098039216,0.9192825112107624,0.2,0.0666666666666666,0.1,0.7147435897435898,0.0278824372428458,0.56,0.2851851851851852,0.3810126582278481,0.2051035427074208,0.0017104029990627,-0.24,0.1018518518518518,0.081012658227848,0.139822622647089,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\pc1\rf_candidate2.joblib,2.0,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\pc1\manifest.json,102.0,8.0,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 8, ""n_estimators"": 200}",recall_with_precision_floor,best_validation_threshold_candidate_cv_tiebreak,val_recall_then_val_f1_precision_floor_0.30,metrics_only,metrics_only,,False,paper-v1,tuned_best_table,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,pc1::rf,pc1::rf::tuned_best_table,,,,,,,,,,,,,,,
qt,xgb,hybrid_tfidf,hybrid_validation_then_tuned,1,True,recall,f1,Selected by recall then f1 using validation metrics within dataset under policy hybrid_validation_then_tuned,paper-v1,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\qt_clean.parquet,42,20819,2314,2571,1022,19341.0,1478.0,2388.0,183.0,"la,ld,nf,nd,ns,ent,nrev,rtime,hcmt,self,ndev,age,nuc,app,aexp,rexp,arexp,rrexp,asexp,rsexp,asawr,rsawr",,,0.6115847826004028,0.3,True,val_recall,max_recall_with_precision_floor,0.300561797752809,0.6524390243902439,0.4115384615384615,0.8585677821894498,,,,,,,,,,validation,True,0.8788126230846822,0.3403605255117629,0.7537212449255751,0.4689539044411703,0.9180163134412868,0.867761452031115,0.300561797752809,0.6524390243902439,0.4115384615384615,0.8585677821894498,0.8537534033450019,0.2556962025316455,0.5519125683060109,0.3494809688581315,0.8184181380490796,0.0250592197396802,0.0846643229801173,0.2018086766195642,0.1194729355830387,0.0995981753922072,0.0110511710535672,0.0397987277589539,0.1012822205353312,0.0574154429027087,0.059448531251837,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\hybrid_tfidf\xgb_qt.joblib,,jitline_native_split,,,,,recall_with_precision_floor,,,metrics_plus_commit_text,metrics_plus_commit_text,commit_text,True,paper-v1,training,,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\hybrid_tfidf_results.csv,qt::xgb,qt::xgb::training,0.2,,"la,ld,nf,nd,ns,ent,nrev,rtime,hcmt,self,ndev,age,nuc,app,aexp,rexp,arexp,rrexp,asexp,rsexp,asawr,rsawr",22.0,1000.0,1000.0,True,,0.1,,metrics+tfidf,,True,"0:19341,1:1478","0:2388,1:183"
