dataset_name,model,accuracy,precision,recall,f1,auc
cm1,lgbm,0.801980198019802,0.2222222222222222,0.4,0.2857142857142857,0.6351648351648352
cm1,rf,0.8811881188118812,0.3333333333333333,0.2,0.25,0.6027472527472528
cm1,xgb,0.7821782178217822,0.2,0.4,0.26666666666666666,0.6252747252747253
jitfine,lgbm,0.8558394160583942,0.2289156626506024,0.28,0.2518939393939394,0.6587086597612914
jitfine,rf,0.8354014598540146,0.21870882740447958,0.3494736842105263,0.26904376012965964,0.6939182922340815
jitfine,xgb,0.8355839416058394,0.21216216216216216,0.33052631578947367,0.2584362139917695,0.6711734581208264
jm1,lgbm,0.7134746404239213,0.29207920792079206,0.5605700712589073,0.3840520748576078,0.7294615958016815
jm1,rf,0.7009841029523088,0.2905788876276958,0.6080760095011877,0.3932411674347158,0.732697282792947
jm1,xgb,0.7172596517789553,0.30408653846153844,0.6009501187648456,0.4038308060654429,0.7363153059598456
kc1,lgbm,0.557919621749409,0.24793388429752067,0.9230769230769231,0.39087947882736157,0.7961753330468414
kc1,rf,0.5673758865248227,0.25,0.9076923076923077,0.3920265780730897,0.8131714654061024
kc1,xgb,0.5673758865248227,0.24568965517241378,0.8769230769230769,0.3838383838383838,0.7908895573700043
openstack,lgbm,0.7791134485349361,0.3154929577464789,0.6871165644171779,0.43243243243243246,0.8268079250357173
openstack,rf,0.7753568745304282,0.307909604519774,0.6687116564417178,0.42166344294003866,0.8224010421043785
openstack,xgb,0.7791134485349361,0.3185595567867036,0.7055214723926381,0.4389312977099237,0.8301065215564334
pc1,lgbm,0.8295964125560538,0.17142857142857143,0.4,0.24,0.7668269230769231
pc1,rf,0.8878923766816144,0.1875,0.2,0.1935483870967742,0.7512820512820513
pc1,xgb,0.9327354260089686,0.5,0.13333333333333333,0.21052631578947367,0.7592948717948718
qt,lgbm,0.897705173084403,0.31981981981981983,0.3879781420765027,0.3506172839506173,0.799905721686758
qt,rf,0.8988720342279268,0.30256410256410254,0.3224043715846995,0.31216931216931215,0.7895671435501734
qt,xgb,0.8872034227926877,0.285140562248996,0.3879781420765027,0.3287037037037037,0.8037134671536187
